From	Uniprot_Entry	Reviewed	Seq_ID	Protein_names	Gene_Names	Organism	Length	Taxonomic_lineage	Active_site	Binding_site	EC_number	Function	Protein_families	RefSeq	AlphaFoldDB	PDB	EMDB
K9T4C5	K9T4C5	unreviewed	K9T4C5_9CYAN	Putative membrane protein	Ple7327_1486	Pleurocapsa sp. PCC 7327	237	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Pleurocapsales (order), Hyellaceae (family), Pleurocapsa (genus), unclassified Pleurocapsa (no rank)					Peptidase S54 family	WP_015143170.1;	K9T4C5;		
I3M3C9	I3M3C9	unreviewed	I3M3C9_ICTTR	Rhomboid-related protein 1 (EC 3.4.21.105)	RHBDL1	Ictidomys tridecemlineatus (Thirteen-lined ground squirrel) (Spermophilus tridecemlineatus)	373	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Euarchontoglires (superorder), Glires (clade), Rodentia (order), Sciuromorpha (suborder), Sciuridae (family), Xerinae (subfamily), Marmotini (tribe), Ictidomys (genus)	"ACT_SITE 247; /note=""Nucleophile""; /evidence=""ECO:0000256|PIRSR:PIRSR037470-50""; ACT_SITE 312; /evidence=""ECO:0000256|PIRSR:PIRSR037470-50"""		3.4.21.105	FUNCTION: May be involved in regulated intramembrane proteolysis and the subsequent release of functional polypeptides from their membrane anchors. {ECO:0000256|PIRNR:PIRNR037470}.	Peptidase S54 family	XP_005323700.1;	I3M3C9;		
G1PFX4	G1PFX4	unreviewed	G1PFX4_MYOLU	Rhomboid-related protein 1 (EC 3.4.21.105)	RHBDL1	Myotis lucifugus (Little brown bat)	373	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Laurasiatheria (superorder), Chiroptera (order), Yangochiroptera (suborder), Vespertilionidae (family), Myotis (genus)	"ACT_SITE 247; /note=""Nucleophile""; /evidence=""ECO:0000256|PIRSR:PIRSR037470-50""; ACT_SITE 312; /evidence=""ECO:0000256|PIRSR:PIRSR037470-50"""		3.4.21.105	FUNCTION: May be involved in regulated intramembrane proteolysis and the subsequent release of functional polypeptides from their membrane anchors. {ECO:0000256|PIRNR:PIRNR037470}.	Peptidase S54 family	XP_006103708.1;	G1PFX4;		
B4QM12	B4QM12	unreviewed	B4QM12_DROSI	GD13615	Dsim\GD13615 Dsim_GD13615 Dsimw501_GD13615	Drosophila simulans (Fruit fly)	344	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Hexapoda (subphylum), Insecta (class), Dicondylia (clade), Pterygota (subclass), Neoptera (infraclass), Endopterygota (cohort), Diptera (order), Brachycera (suborder), Muscomorpha (infraorder), Eremoneura (clade), Cyclorrhapha (clade), Schizophora (no rank), Acalyptratae (no rank), Ephydroidea (superfamily), Drosophilidae (family), Drosophilinae (subfamily), Drosophilini (tribe), Drosophila (genus), Sophophora (subgenus), melanogaster group (no rank), melanogaster subgroup (no rank)	"ACT_SITE 205; /note=""Nucleophile""; /evidence=""ECO:0000256|PIRSR:PIRSR037470-50""; ACT_SITE 269; /evidence=""ECO:0000256|PIRSR:PIRSR037470-50"""				Peptidase S54 family	XP_016029807.1;XP_016029808.1;XP_016029809.1;	B4QM12;		
Q29FF9	Q29FF9		Q29FF9_DROPS														
N4UUG1	N4UUG1	unreviewed	N4UUG1_COLOR	Rhomboid-type serine protease (EC 3.4.21.105)	Cob_v004635	Colletotrichum orbiculare (strain 104-T / ATCC 96160 / CBS 514.97 / LARS 414 / MAFF 240422) (Cucumber anthracnose fungus) (Colletotrichum lagenarium)	574	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), sordariomyceta (clade), Sordariomycetes (class), Hypocreomycetidae (subclass), Glomerellales (order), Glomerellaceae (family), Colletotrichum (genus), Colletotrichum orbiculare species complex (no rank), Colletotrichum orbiculare (species)			3.4.21.105	FUNCTION: Serine protease involved in intramembrane proteolysis. {ECO:0000256|RuleBase:RU362115}.	Peptidase S54 family		N4UUG1;		
K9ZAX9	K9ZAX9	unreviewed	K9ZAX9_ANACC	Peptidase S54, rhomboid domain protein	Anacy_0747	Anabaena cylindrica (strain ATCC 27899 / PCC 7122)	235	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Nostocales (order), Nostocaceae (family), Anabaena (genus), Anabaena cylindrica (species)					Peptidase S54 family	WP_015212984.1;	K9ZAX9;		
A0A067KRX4	A0A067KRX4	unreviewed	A0A067KRX4_JATCU	Peptidase S54 rhomboid domain-containing protein	JCGZ_05039	Jatropha curcas (Barbados nut)	318	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), rosids (clade), fabids (clade), Malpighiales (order), Euphorbiaceae (family), Crotonoideae (subfamily), Jatropheae (tribe), Jatropha (genus)					Peptidase S54 family		A0A067KRX4;		
W5EXP6	W5EXP6		W5EXP6_WHEAT														
A0A0L0C008	A0A0L0C008	unreviewed	A0A0L0C008_LUCCU	EF-hand domain-containing protein	FF38_00988	Lucilia cuprina (Green bottle fly) (Australian sheep blowfly)	390	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Hexapoda (subphylum), Insecta (class), Dicondylia (clade), Pterygota (subclass), Neoptera (infraclass), Endopterygota (cohort), Diptera (order), Brachycera (suborder), Muscomorpha (infraorder), Eremoneura (clade), Cyclorrhapha (clade), Schizophora (no rank), Calyptratae (no rank), Oestroidea (superfamily), Calliphoridae (family), Luciliinae (subfamily), Lucilia (genus)	"ACT_SITE 272; /note=""Nucleophile""; /evidence=""ECO:0000256|PIRSR:PIRSR037470-50""; ACT_SITE 331; /evidence=""ECO:0000256|PIRSR:PIRSR037470-50"""				Peptidase S54 family		A0A0L0C008;		
Q8YMU0	Q8YMU0	unreviewed	Q8YMU0_NOSS1	Alr4837 protein	alr4837	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)	239	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Nostocales (order), Nostocaceae (family), Nostoc (genus), unclassified Nostoc (no rank)					Peptidase S54 family	WP_010998965.1;	Q8YMU0;		
D5GYP4	D5GYP4	unreviewed	D5GYP4_LACCS	Membrane protein	LCRIS_01456	Lactobacillus crispatus (strain ST1)	228	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Bacillota (phylum), Bacilli (class), Lactobacillales (order), Lactobacillaceae (family), Lactobacillus (genus), Lactobacillus crispatus (species)						WP_013086633.1;	D5GYP4;		
I6FDR1	I6FDR1		I6FDR1_SHIFL														
J9FDF7	J9FDF7	unreviewed	J9FDF7_WUCBA	Rhomboid family protein	WUBG_01492	Wuchereria bancrofti	377	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Nematoda (phylum), Chromadorea (class), Rhabditida (order), Spirurina (suborder), Spiruromorpha (infraorder), Filarioidea (superfamily), Onchocercidae (family), Wuchereria (genus)					Peptidase S54 family		J9FDF7;		
A0A066X912	A0A066X912	unreviewed	A0A066X912_COLSU	Rhomboid-type serine protease (EC 3.4.21.105)	CSUB01_01051	Colletotrichum sublineola (Sorghum anthracnose fungus)	558	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), sordariomyceta (clade), Sordariomycetes (class), Hypocreomycetidae (subclass), Glomerellales (order), Glomerellaceae (family), Colletotrichum (genus), Colletotrichum graminicola species complex (no rank)			3.4.21.105	FUNCTION: Serine protease involved in intramembrane proteolysis. {ECO:0000256|RuleBase:RU362115}.	Peptidase S54 family		A0A066X912;		
A0A059A6Z3	A0A059A6Z3	unreviewed	A0A059A6Z3_EUCGR	RHOMBOID-like protein (EC 3.4.21.105)	EUGRSUZ_K03129	Eucalyptus grandis (Flooded gum)	394	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), rosids (clade), malvids (clade), Myrtales (order), Myrtaceae (family), Myrtoideae (subfamily), Eucalypteae (tribe), Eucalyptus (genus)			3.4.21.105	FUNCTION: Serine protease involved in intramembrane proteolysis. {ECO:0000256|RuleBase:RU362115}.	Peptidase S54 family	XP_010037829.1;	A0A059A6Z3;		
A0A0A2VWE6	A0A0A2VWE6	unreviewed	A0A0A2VWE6_BEABA	Rhomboid-type serine protease (EC 3.4.21.105)	BBAD15_g4134	Beauveria bassiana D1-5	517	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), sordariomyceta (clade), Sordariomycetes (class), Hypocreomycetidae (subclass), Hypocreales (order), Cordycipitaceae (family), Beauveria (genus), Beauveria bassiana (species)			3.4.21.105	FUNCTION: Serine protease involved in intramembrane proteolysis. {ECO:0000256|RuleBase:RU362115}.	Peptidase S54 family		A0A0A2VWE6;		
A0A0D4DQ63	A0A0D4DQ63		A0A0D4DQ63_9ACTN														
A0A0M2Z6E6	A0A0M2Z6E6		A0A0M2Z6E6_9ACTN														
G3R928	G3R928	unreviewed	G3R928_GORGO	Rhomboid domain containing 3		Gorilla gorilla gorilla (Western lowland gorilla)	386	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Euarchontoglires (superorder), Primates (order), Haplorrhini (suborder), Simiiformes (infraorder), Catarrhini (parvorder), Hominoidea (superfamily), Hominidae (family), Homininae (subfamily), Gorilla (genus), Gorilla gorilla (species)						XP_018873726.1;	G3R928;		
K7J1X6	K7J1X6		K7J1X6_NASVI														
W5FEN6	W5FEN6		W5FEN6_WHEAT														
Q2JCX7	Q2JCX7	unreviewed	Q2JCX7_FRACC	Rhomboid-like protein	Francci3_1489	Frankia casuarinae (strain DSM 45818 / CECT 9043 / HFP020203 / CcI3)	298	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Frankiales (order), Frankiaceae (family), Frankia (genus)							Q2JCX7;		
A0A0M8V9Y9	A0A0M8V9Y9	unreviewed	A0A0M8V9Y9_9ACTN	Rhomboid family protein	ADL00_26135	Streptomyces sp. AS58	307	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Kitasatosporales (order), Streptomycetaceae (family), Streptomyces (genus), unclassified Streptomyces (no rank)					Peptidase S54 family	WP_053760631.1;	A0A0M8V9Y9;		
F6UQN5	F6UQN5	unreviewed	F6UQN5_HORSE	Rhomboid domain containing 3	RHBDD3	Equus caballus (Horse)	428	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Laurasiatheria (superorder), Perissodactyla (order), Equidae (family), Equus (genus)							F6UQN5;		
G3GTS1	G3GTS1	unreviewed	G3GTS1_CRIGR	rhomboid protease (EC 3.4.21.105)	I79_001059	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)	373	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Euarchontoglires (superorder), Glires (clade), Rodentia (order), Myomorpha (suborder), Muroidea (clade), Cricetidae (family), Cricetinae (subfamily), Cricetulus (genus)	"ACT_SITE 247; /note=""Nucleophile""; /evidence=""ECO:0000256|PIRSR:PIRSR037470-50""; ACT_SITE 312; /evidence=""ECO:0000256|PIRSR:PIRSR037470-50"""		3.4.21.105		Peptidase S54 family		G3GTS1;		
A0A0G3AJZ1	A0A0G3AJZ1		A0A0G3AJZ1_9ACTN														
A0A067JKB4	A0A067JKB4	unreviewed	A0A067JKB4_JATCU	RHOMBOID-like protein (EC 3.4.21.105)	JCGZ_05305	Jatropha curcas (Barbados nut)	395	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), rosids (clade), fabids (clade), Malpighiales (order), Euphorbiaceae (family), Crotonoideae (subfamily), Jatropheae (tribe), Jatropha (genus)			3.4.21.105	FUNCTION: Serine protease involved in intramembrane proteolysis. {ECO:0000256|RuleBase:RU362115}.	Peptidase S54 family	XP_012092564.1;	A0A067JKB4;		
R0GVS9	R0GVS9	unreviewed	R0GVS9_9BRAS	RHOMBOID-like protein (EC 3.4.21.105)	CARUB_v10001321mg	Capsella rubella	346	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), rosids (clade), malvids (clade), Brassicales (order), Brassicaceae (family), Camelineae (tribe), Capsella (genus)			3.4.21.105	FUNCTION: Serine protease involved in intramembrane proteolysis. {ECO:0000256|RuleBase:RU362115}.	Peptidase S54 family	XP_006288091.1;	R0GVS9;		
A0A0D3DSV4	A0A0D3DSV4	unreviewed	A0A0D3DSV4_BRAOL	RHOMBOID-like protein (EC 3.4.21.105)		Brassica oleracea var. oleracea	391	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), rosids (clade), malvids (clade), Brassicales (order), Brassicaceae (family), Brassiceae (tribe), Brassica (genus), Brassica oleracea (species)			3.4.21.105	FUNCTION: Serine protease involved in intramembrane proteolysis. {ECO:0000256|RuleBase:RU362115}.	Peptidase S54 family	XP_013600355.1;	A0A0D3DSV4;		
A0A0F5YB46	A0A0F5YB46	unreviewed	A0A0F5YB46_9CYAN	Peptidase S54	WN50_25130	Limnoraphis robusta CS-951	241	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Oscillatoriophycideae (subclass), Oscillatoriales (order), Sirenicapillariaceae (family), Limnoraphis (genus), Limnoraphis robusta (species)					Peptidase S54 family	WP_046281349.1;	A0A0F5YB46;		
G3R248	G3R248	unreviewed	G3R248_GORGO	Rhomboid-related protein 2 (EC 3.4.21.105)	RHBDL2	Gorilla gorilla gorilla (Western lowland gorilla)	303	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Euarchontoglires (superorder), Primates (order), Haplorrhini (suborder), Simiiformes (infraorder), Catarrhini (parvorder), Hominoidea (superfamily), Hominidae (family), Homininae (subfamily), Gorilla (genus), Gorilla gorilla (species)	"ACT_SITE 187; /note=""Nucleophile""; /evidence=""ECO:0000256|PIRSR:PIRSR037470-50""; ACT_SITE 250; /evidence=""ECO:0000256|PIRSR:PIRSR037470-50"""		3.4.21.105	FUNCTION: Involved in regulated intramembrane proteolysis and the subsequent release of functional polypeptides from their membrane anchors. {ECO:0000256|PIRNR:PIRNR037470}.	Peptidase S54 family		G3R248;		
H0X714	H0X714	unreviewed	H0X714_OTOGA	Rhomboid domain containing 3	RHBDD3	Otolemur garnettii (Small-eared galago) (Garnett's greater bushbaby)	386	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Euarchontoglires (superorder), Primates (order), Strepsirrhini (suborder), Lorisiformes (infraorder), Galagidae (family), Otolemur (genus)						XP_003789897.1;XP_012660638.1;XP_012660639.1;	H0X714;		
A0A072U4R8	A0A072U4R8	unreviewed	A0A072U4R8_MEDTR	Rhomboid family protein	25499567 MTR_7g107390	Medicago truncatula (Barrel medic) (Medicago tribuloides)	358	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), rosids (clade), fabids (clade), Fabales (order), Fabaceae (family), Papilionoideae (subfamily), 50 kb inversion clade (clade), NPAAA clade (clade), Hologalegina (clade), IRL clade (clade), Trifolieae (tribe), Medicago (genus)					Peptidase S54 family	XP_013450313.1;	A0A072U4R8;		
D7TMU9	D7TMU9	unreviewed	D7TMU9_VITVI	RHOMBOID-like protein (EC 3.4.21.105)	VIT_16s0100g00640	Vitis vinifera (Grape)	325	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), rosids (clade), rosids incertae sedis (no rank), Vitales (order), Vitaceae (family), Viteae (tribe), Vitis (genus)			3.4.21.105	FUNCTION: Serine protease involved in intramembrane proteolysis. {ECO:0000256|RuleBase:RU362115}.	Peptidase S54 family	XP_002279077.1;	D7TMU9;		
H2TDY2	H2TDY2		H2TDY2_TAKRU														
M0WRB1	M0WRB1		M0WRB1_HORVV														
B4L8V8	B4L8V8	unreviewed	B4L8V8_DROMO	Uncharacterized protein, isoform A (Uncharacterized protein, isoform B (EC 3.4.21.-))	Dmoj\GI16724 Dmoj_GI16724	Drosophila mojavensis (Fruit fly)	476	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Hexapoda (subphylum), Insecta (class), Dicondylia (clade), Pterygota (subclass), Neoptera (infraclass), Endopterygota (cohort), Diptera (order), Brachycera (suborder), Muscomorpha (infraorder), Eremoneura (clade), Cyclorrhapha (clade), Schizophora (no rank), Acalyptratae (no rank), Ephydroidea (superfamily), Drosophilidae (family), Drosophilinae (subfamily), Drosophilini (tribe), Drosophila (genus), Drosophila (subgenus), repleta group (no rank), mulleri subgroup (no rank), mojavensis species complex (no rank)			3.4.21.-		Peptidase S54 family	XP_002012002.1;XP_015015806.1;	B4L8V8;		
A0A0M2Z2F7	A0A0M2Z2F7		A0A0M2Z2F7_9ACTN														
G3J4Q9	G3J4Q9	unreviewed	G3J4Q9_CORMM	Rhomboid-type serine protease (EC 3.4.21.105)	CCM_01382	Cordyceps militaris (strain CM01) (Caterpillar fungus)	601	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), sordariomyceta (clade), Sordariomycetes (class), Hypocreomycetidae (subclass), Hypocreales (order), Cordycipitaceae (family), Cordyceps (genus), Cordyceps militaris (species)			3.4.21.105	FUNCTION: Serine protease involved in intramembrane proteolysis. {ECO:0000256|RuleBase:RU362115}.	Peptidase S54 family	XP_006666601.1;	G3J4Q9;		
B4HVS7	B4HVS7	unreviewed	B4HVS7_DROSE	GM14406	Dsec\GM14406 Dsec_GM14406	Drosophila sechellia (Fruit fly)	344	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Hexapoda (subphylum), Insecta (class), Dicondylia (clade), Pterygota (subclass), Neoptera (infraclass), Endopterygota (cohort), Diptera (order), Brachycera (suborder), Muscomorpha (infraorder), Eremoneura (clade), Cyclorrhapha (clade), Schizophora (no rank), Acalyptratae (no rank), Ephydroidea (superfamily), Drosophilidae (family), Drosophilinae (subfamily), Drosophilini (tribe), Drosophila (genus), Sophophora (subgenus), melanogaster group (no rank), melanogaster subgroup (no rank)	"ACT_SITE 205; /note=""Nucleophile""; /evidence=""ECO:0000256|PIRSR:PIRSR037470-50""; ACT_SITE 269; /evidence=""ECO:0000256|PIRSR:PIRSR037470-50"""				Peptidase S54 family	XP_002034906.1;	B4HVS7;		
R5JDV3	R5JDV3	unreviewed	R5JDV3_9BACE	Peptidase S54 rhomboid domain-containing protein	BN523_00991	Bacteroides sp. CAG:189	225	cellular organisms (no rank), Bacteria (superkingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Bacteroidota (phylum), Bacteroidia (class), Bacteroidales (order), Bacteroidaceae (family), Bacteroides (genus), unclassified Bacteroides (no rank)					Peptidase S54 family		R5JDV3;		
B4FJ85	B4FJ85	unreviewed	B4FJ85_MAIZE	RHOMBOID-like protein 13 (Rhomboid family protein)	LOC100216684 ZEAMMB73_Zm00001d012169	Zea mays (Maize)	275	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Liliopsida (clade), Petrosaviidae (subclass), commelinids (clade), Poales (order), Poaceae (family), PACMAD clade (clade), Panicoideae (subfamily), Andropogonodae (no rank), Andropogoneae (tribe), Tripsacinae (subtribe), Zea (genus)					Peptidase S54 family	NP_001136563.1;			
B0WAB7	B0WAB7	unreviewed	B0WAB7_CULQU	Stem cell tumor	6035466 CpipJ_CPIJ003969	Culex quinquefasciatus (Southern house mosquito) (Culex pungens)	364	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Hexapoda (subphylum), Insecta (class), Dicondylia (clade), Pterygota (subclass), Neoptera (infraclass), Endopterygota (cohort), Diptera (order), Nematocera (suborder), Culicomorpha (infraorder), Culicoidea (superfamily), Culicidae (family), Culicinae (subfamily), Culicini (tribe), Culex (genus), Culex (subgenus), Culex pipiens complex (no rank)	"ACT_SITE 227; /note=""Nucleophile""; /evidence=""ECO:0000256|PIRSR:PIRSR037470-50""; ACT_SITE 290; /evidence=""ECO:0000256|PIRSR:PIRSR037470-50"""				Peptidase S54 family	XP_001845651.1;	B0WAB7;		
I1JLP8	I1JLP8	unreviewed	I1JLP8_SOYBN	RHOMBOID-like protein (EC 3.4.21.105)	GLYMA_03G079800	Glycine max (Soybean) (Glycine hispida)	385	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), rosids (clade), fabids (clade), Fabales (order), Fabaceae (family), Papilionoideae (subfamily), 50 kb inversion clade (clade), NPAAA clade (clade), indigoferoid/millettioid clade (clade), Phaseoleae (tribe), Glycine (genus), Glycine subgen. Soja (subgenus)			3.4.21.105	FUNCTION: Serine protease involved in intramembrane proteolysis. {ECO:0000256|RuleBase:RU362115}.	Peptidase S54 family	XP_003520922.1;			
A0A023NY68	A0A023NY68		A0A023NY68_9GAMM														
W5C1I8	W5C1I8		W5C1I8_WHEAT														
